farm_id;region;crop_type;soil_moisture_%;soil_pH;temperature_C;rainfall_mm;humidity_%;sunlight_hours;irrigation_type;fertilizer_type;pesticide_usage_ml;sowing_date;harvest_date;total_days;yield_kg_per_hectare;sensor_id;timestamp;latitude;longitude;NDVI_index;crop_disease_status
FARM0034;East Africa;Soybean;33.39;6.17;24.89;131.25;64.38;6.13;Manual;Inorganic;17.58;23/03/2024;16/08/2024;146;3105.07;SENS0034;25/03/2024;22.915.681;73.821.128;0.44;Severe
FARM0035;South USA;Soybean;36.54;6.88;27.92;172.71;79.65;4.56;Sprinkler;Inorganic;36.13;22/02/2024;28/06/2024;127;3476.08;SENS0035;20/05/2024;20.637.595;84.918.709;0.5;Severe
FARM0036;Central USA;Maize;18.8;5.74;18.85;79.89;66.79;8.57;Sprinkler;Organic;14.74;09/02/2024;24/06/2024;136;4358.35;SENS0036;22/06/2024;24.919.769;89.610.213;0.8;Moderate
FARM0037;South India;Maize;16.28;5.53;25.68;118.58;88.71;7.32;Sprinkler;Mixed;44.08;04/02/2024;28/06/2024;145;2049.06;SENS0037;16/04/2024;21.734.924;78.809.376;0.41;None
FARM0038;Central USA;Cotton;13.99;5.63;24.83;194.26;74.32;4.91;Manual;Organic;49.73;18/01/2024;04/06/2024;138;3664.7;SENS0038;15/03/2024;29.392.338;77.607.561;0.85;Moderate
FARM0039;East Africa;Cotton;20.69;6.74;27.19;235.02;87.38;5.25;Sprinkler;Inorganic;34.72;08/01/2024;18/04/2024;101;4207.97;SENS0039;28/01/2024;10.066.893;79.010.074;0.66;Moderate
FARM0040;North India;Rice;20.08;6.07;32.19;67.79;51.67;5.59;Sprinkler;Inorganic;10.16;21/01/2024;29/04/2024;99;5633.65;SENS0040;08/02/2024;11.785.246;73.318.456;0.48;Moderate
FARM0041;South USA;Wheat;26.4;6.11;23.05;118.06;67.0;6.63;Drip;Inorganic;38.05;09/03/2024;08/06/2024;91;2365.31;SENS0041;03/06/2024;30.898.965;81.503.982;0.87;Moderate
FARM0042;East Africa;Wheat;36.71;5.85;25.38;160.56;53.91;9.98;None;Mixed;41.64;16/01/2024;07/05/2024;112;3633.39;SENS0042;26/02/2024;26.753.338;87.154.662;0.5;Severe
FARM0043;Central USA;Cotton;38.47;6.6;24.1;128.63;56.16;9.82;None;Mixed;42.12;22/01/2024;15/06/2024;145;4170.37;SENS0043;06/05/2024;11.355.102;80.368.788;0.67;Severe
FARM0044;South USA;Wheat;17.12;6.6;33.55;159.53;74.91;4.73;Sprinkler;Mixed;12.13;01/03/2024;04/07/2024;125;3631.96;SENS0044;29/03/2024;34.806.428;88.258.598;0.58;None
FARM0045;South India;Cotton;42.64;6.08;29.11;153.87;64.12;6.83;None;Mixed;11.51;20/01/2024;21/05/2024;122;4985.17;SENS0045;06/02/2024;31.600.673;75.524.948;0.77;Severe
FARM0046;Central USA;Soybean;19.35;5.51;29.52;259.37;69.0;7.96;Sprinkler;Inorganic;29.24;11/02/2024;15/06/2024;125;5051.49;SENS0046;30/03/2024;21.383.615;76.435.547;0.41;Mild
FARM0047;East Africa;Cotton;18.17;7.05;15.87;236.18;75.26;8.87;None;Mixed;40.66;05/03/2024;04/07/2024;121;5859.3;SENS0047;21/03/2024;22.557.279;81.803.609;0.82;Severe
FARM0048;North India;Soybean;41.87;5.53;17.88;267.73;88.5;4.45;Manual;Inorganic;33.05;21/02/2024;26/05/2024;95;5407.06;SENS0048;17/05/2024;31.483.555;77.600.188;0.49;Severe
FARM0049;East Africa;Wheat;31.61;5.97;28.69;121.84;51.37;4.54;Drip;Mixed;36.68;15/01/2024;24/04/2024;100;4776.0;SENS0049;18/01/2024;11.149.774;85.922.869;0.48;Moderate
FARM0050;South USA;Rice;18.55;6.32;28.64;95.01;48.75;7.66;None;Mixed;35.74;19/02/2024;28/05/2024;99;2928.75;SENS0050;10/05/2024;16.349.433;75.106.534;0.31;Severe
FARM0051;Central USA;Soybean;15.53;6.38;21.91;196.89;71.95;6.55;Manual;Inorganic;43.04;13/01/2024;05/06/2024;144;3932.83;SENS0051;13/03/2024;19.534.107;77.179.183;0.48;Moderate
FARM0052;North India;Cotton;19.61;6.63;28.72;236.17;42.45;7.64;None;Inorganic;39.91;20/01/2024;09/06/2024;141;3409.28;SENS0052;08/03/2024;25.522.279;83.555.289;0.73;Mild
FARM0053;North India;Wheat;20.81;6.38;26.59;233.09;44.51;5.77;None;Organic;14.04;12/03/2024;13/07/2024;123;4007.18;SENS0053;15/04/2024;30.761.815;75.139.402;0.79;Severe
FARM0054;Central USA;Maize;38.15;6.44;16.51;238.54;51.28;8.06;None;Mixed;21.46;01/02/2024;17/05/2024;106;4146.29;SENS0054;30/03/2024;19.214.641;84.980.232;0.46;Severe
FARM0055;Central USA;Wheat;33.62;6.44;27.39;285.79;56.4;7.66;Drip;Mixed;42.07;10/03/2024;19/07/2024;131;3633.18;SENS0055;14/04/2024;1.113.367;70.744.243;0.9;None
FARM0056;North India;Rice;41.05;5.77;24.07;217.62;77.16;9.68;None;Mixed;38.4;14/01/2024;24/05/2024;131;2396.09;SENS0056;18/05/2024;25.391.305;88.781.061;0.47;Moderate
FARM0057;South India;Cotton;25.56;5.97;22.25;295.23;58.37;9.41;Manual;Organic;22.92;04/01/2024;02/06/2024;150;5392.13;SENS0057;29/04/2024;12.291.836;74.242.116;0.68;None
FARM0058;North India;Maize;18.52;5.75;26.29;67.15;78.26;5.24;Sprinkler;Organic;19.79;26/01/2024;21/06/2024;147;4383.93;SENS0058;05/04/2024;31.460.153;7.289.376;0.38;Moderate
FARM0059;South India;Wheat;33.14;5.55;15.3;247.5;51.9;5.94;Sprinkler;Inorganic;7.36;14/03/2024;15/07/2024;123;2454.6;SENS0059;22/03/2024;21.906.149;85.560.341;0.61;None
FARM0060;South USA;Soybean;17.75;6.73;29.54;277.19;72.95;5.81;Drip;Organic;49.94;14/02/2024;26/06/2024;133;2431.85;SENS0060;06/06/2024;11.837.268;7.161.581;0.66;None
FARM0061;South India;Maize;31.85;6.67;29.24;145.23;69.87;5.77;None;Organic;40.69;28/01/2024;07/06/2024;131;4603.67;SENS0061;23/03/2024;20.751.749;8.776.182;0.55;Severe
FARM0062;South USA;Cotton;35.54;6.13;21.25;113.72;87.68;8.12;None;Organic;9.11;03/01/2024;29/04/2024;117;2386.26;SENS0062;06/04/2024;19.316.171;72.602.309;0.34;Moderate
FARM0063;North India;Cotton;22.38;6.83;30.01;267.02;76.05;9.81;Manual;Inorganic;9.66;07/03/2024;14/06/2024;99;4626.95;SENS0063;04/04/2024;31.181.871;7.700.228;0.63;None
FARM0064;Central USA;Soybean;17.92;6.36;26.22;241.86;71.09;8.05;Drip;Mixed;46.81;09/03/2024;08/06/2024;91;2721.66;SENS0064;06/06/2024;29.060.238;8.843.075;0.51;Mild
FARM0065;South India;Soybean;33.01;5.64;29.82;292.95;44.59;7.18;None;Inorganic;25.41;12/01/2024;30/04/2024;109;4886.38;SENS0065;20/04/2024;33.535.186;81.924.475;0.83;Mild
FARM0066;South India;Soybean;11.74;5.66;23.86;156.0;70.35;6.49;Sprinkler;Mixed;10.12;04/02/2024;22/05/2024;108;4712.87;SENS0066;19/04/2024;22.165.819;83.342.651;0.33;Severe
FARM0067;East Africa;Wheat;10.27;6.1;19.22;84.31;52.78;5.97;Drip;Inorganic;38.62;05/01/2024;28/04/2024;114;4130.33;SENS0067;03/02/2024;22.506.559;86.667.084;0.78;None
FARM0068;South USA;Wheat;25.27;6.42;16.56;128.27;61.46;6.43;None;Inorganic;10.18;11/01/2024;20/04/2024;100;5205.29;SENS0068;30/03/2024;21.502.423;83.792.201;0.52;Severe
FARM0069;North India;Rice;25.25;6.3;16.57;267.63;77.29;5.33;Sprinkler;Organic;27.97;17/01/2024;18/05/2024;122;2775.61;SENS0069;25/04/2024;18.734.382;84.547.582;0.79;Mild
FARM0070;South India;Wheat;15.13;5.89;27.05;240.05;72.78;5.06;None;Inorganic;38.95;15/03/2024;26/07/2024;133;5696.62;SENS0070;05/06/2024;31.606.172;82.544.348;0.39;None
FARM0071;South USA;Cotton;32.1;7.09;26.83;137.99;43.71;6.77;Drip;Organic;21.59;03/02/2024;13/06/2024;131;5457.0;SENS0071;26/02/2024;2.537.521;80.141.356;0.58;None
FARM0072;South USA;Soybean;32.81;6.14;24.51;87.72;43.09;4.62;Manual;Mixed;8.79;06/03/2024;06/06/2024;92;2990.97;SENS0072;01/05/2024;34.774.651;80.481.371;0.67;Moderate
FARM0073;Central USA;Maize;23.56;7.05;28.58;63.09;71.54;6.01;Manual;Organic;30.11;10/02/2024;26/05/2024;106;4894.93;SENS0073;04/05/2024;34.110.251;82.054.016;0.39;None
FARM0074;East Africa;Rice;42.09;6.12;28.12;215.53;46.45;8.25;Drip;Inorganic;30.15;26/03/2024;15/07/2024;111;5252.74;SENS0074;19/06/2024;27.570.772;88.942.172;0.9;None
FARM0075;South USA;Soybean;22.66;6.23;18.61;103.55;87.38;6.92;Sprinkler;Organic;11.97;28/02/2024;17/07/2024;140;2404.56;SENS0075;15/07/2024;30.877.996;87.673.643;0.32;Moderate
FARM0076;East Africa;Rice;30.9;5.81;18.62;223.21;71.24;9.42;None;Organic;23.49;24/03/2024;07/07/2024;105;5878.35;SENS0076;10/06/2024;17.123.198;8.497.073;0.57;Mild
FARM0077;Central USA;Cotton;41.64;5.89;28.57;192.6;62.03;8.62;None;Mixed;28.74;27/01/2024;08/05/2024;102;5205.04;SENS0077;13/02/2024;31.825.048;71.043.596;0.59;Moderate
FARM0078;East Africa;Wheat;34.9;6.53;17.49;70.97;48.02;6.7;Sprinkler;Inorganic;9.13;27/01/2024;24/05/2024;118;5538.52;SENS0078;30/01/2024;20.372.423;77.929.079;0.52;Severe
FARM0079;North India;Maize;17.86;6.14;16.98;228.68;56.76;4.88;Drip;Inorganic;46.28;23/02/2024;15/07/2024;143;2555.17;SENS0079;22/06/2024;21.215.037;70.105.024;0.35;Moderate
FARM0080;South India;Rice;29.21;6.95;25.56;77.8;54.41;5.81;Drip;Organic;23.89;15/03/2024;17/06/2024;94;2443.43;SENS0080;17/05/2024;24.918.476;70.328.707;0.61;Mild
FARM0081;South India;Maize;25.02;6.73;19.81;154.14;73.22;4.51;Manual;Organic;47.9;17/03/2024;04/08/2024;140;5953.33;SENS0081;22/03/2024;19.761.343;79.402.702;0.68;Moderate
FARM0082;Central USA;Wheat;22.5;5.64;19.82;214.28;45.18;7.49;Manual;Organic;7.0;11/03/2024;31/07/2024;142;4571.18;SENS0082;07/07/2024;3.452.048;79.570.623;0.41;Mild
FARM0083;North India;Cotton;11.29;5.9;30.82;271.45;55.78;5.86;None;Mixed;26.3;25/01/2024;04/06/2024;131;2764.41;SENS0083;25/04/2024;31.553.463;70.956.081;0.69;Moderate
FARM0084;North India;Maize;25.29;6.3;23.79;289.12;56.95;5.12;None;Inorganic;46.59;09/03/2024;28/07/2024;141;2330.45;SENS0084;25/06/2024;11.973.175;82.049.066;0.79;Moderate
FARM0085;Central USA;Wheat;12.8;6.82;21.13;200.66;61.31;8.14;Manual;Inorganic;6.91;20/02/2024;16/06/2024;117;3098.22;SENS0085;31/05/2024;33.697.609;71.500.823;0.68;Moderate
FARM0086;East Africa;Rice;43.35;5.79;27.15;245.33;41.74;4.4;Manual;Inorganic;22.23;02/03/2024;08/07/2024;128;2613.75;SENS0086;25/06/2024;33.720.588;77.440.268;0.76;Mild
FARM0087;East Africa;Maize;23.93;6.8;19.99;78.36;76.78;6.99;None;Mixed;10.3;23/02/2024;20/06/2024;118;2858.28;SENS0087;11/05/2024;17.139.422;88.329.578;0.59;None
FARM0088;South India;Wheat;25.82;7.3;23.9;71.95;74.1;9.07;Manual;Mixed;20.63;18/01/2024;21/05/2024;124;3161.45;SENS0088;25/02/2024;31.284.051;84.236.182;0.86;Mild
FARM0089;Central USA;Soybean;17.85;7.47;30.84;109.18;64.7;6.17;Manual;Inorganic;41.16;05/03/2024;12/07/2024;129;5536.99;SENS0089;21/03/2024;17.732.268;89.991.901;0.73;Severe
FARM0090;South USA;Soybean;12.58;7.44;27.85;162.49;74.01;6.07;Sprinkler;Organic;24.47;27/01/2024;03/05/2024;97;4072.41;SENS0090;05/03/2024;14.116.427;76.453.215;0.73;Moderate
FARM0091;East Africa;Maize;39.61;6.0;27.7;187.71;46.26;5.82;Drip;Mixed;33.84;19/03/2024;26/06/2024;99;2684.8;SENS0091;06/06/2024;28.015.819;82.102.778;0.81;None
FARM0092;North India;Wheat;11.59;6.78;26.54;212.78;78.35;6.5;Drip;Inorganic;45.0;10/03/2024;19/07/2024;131;5826.6;SENS0092;11/07/2024;16.121.948;86.146.986;0.54;Severe
FARM0093;North India;Wheat;15.53;6.33;24.29;135.05;47.18;9.17;Manual;Mixed;49.46;13/02/2024;21/05/2024;98;5042.66;SENS0093;18/04/2024;2.404.128;76.382.318;0.58;Moderate
FARM0094;South USA;Rice;14.93;5.6;33.91;266.04;60.91;9.78;Sprinkler;Inorganic;47.02;11/03/2024;21/06/2024;102;5052.49;SENS0094;13/05/2024;34.899.235;79.336.302;0.83;Severe
FARM0095;North India;Wheat;43.08;6.51;34.33;103.79;57.64;4.3;None;Mixed;44.71;22/03/2024;20/07/2024;120;3142.99;SENS0095;23/03/2024;31.179.309;78.618.555;0.83;Moderate
FARM0096;South USA;Maize;11.58;5.6;26.24;140.63;54.43;6.32;None;Mixed;17.59;22/03/2024;29/07/2024;129;2475.24;SENS0096;15/04/2024;19.847.593;85.897.945;0.5;Moderate
FARM0097;South India;Rice;31.09;6.3;15.81;59.73;75.68;8.82;None;Organic;32.28;05/03/2024;23/06/2024;110;5725.47;SENS0097;14/04/2024;14.062.551;89.812.315;0.74;Moderate
FARM0098;East Africa;Maize;27.76;6.52;24.8;190.73;63.74;4.1;Manual;Mixed;9.93;19/02/2024;07/06/2024;109;5187.02;SENS0098;21/05/2024;31.802.478;8.258.521;0.66;Moderate
FARM0099;East Africa;Soybean;17.96;5.6;24.61;181.06;76.06;8.65;None;Organic;41.97;02/01/2024;07/05/2024;126;5792.82;SENS0099;16/01/2024;14.769.608;78.820.771;0.55;Severe
FARM0100;South India;Cotton;27.56;6.72;24.43;262.09;76.37;8.23;Sprinkler;Mixed;19.63;16/03/2024;17/07/2024;123;3507.3;SENS0100;16/07/2024;14.329.561;88.242.483;0.51;Moderate
FARM0101;Central USA;Soybean;26.95;7.41;20.58;124.62;87.07;9.89;Manual;Mixed;14.33;16/03/2024;04/07/2024;110;3919.21;SENS0101;26/05/2024;33.342.509;85.908.107;0.46;None
FARM0102;East Africa;Soybean;23.29;7.46;31.37;288.65;80.23;5.74;Manual;Mixed;8.56;21/02/2024;06/06/2024;106;4989.35;SENS0102;19/03/2024;150.517;80.771.558;0.86;Moderate
FARM0103;South India;Wheat;31.55;6.67;19.85;217.46;66.55;7.83;Drip;Organic;23.6;16/03/2024;20/06/2024;96;4724.77;SENS0103;02/04/2024;10.129.536;81.007.051;0.86;Severe
FARM0104;South USA;Cotton;32.77;7.01;20.74;121.35;42.96;8.61;Sprinkler;Mixed;38.24;06/01/2024;01/05/2024;116;5528.98;SENS0104;28/01/2024;33.348.065;70.726.797;0.8;Severe
FARM0105;South India;Maize;40.69;5.52;26.36;76.83;89.15;5.71;None;Organic;43.3;09/02/2024;21/05/2024;102;5235.26;SENS0105;22/03/2024;14.062.357;79.178.289;0.45;Mild
FARM0106;North India;Maize;37.68;6.64;30.15;93.87;82.81;9.38;None;Mixed;19.76;22/02/2024;28/05/2024;96;2739.12;SENS0106;10/03/2024;21.936.352;88.716.508;0.3;Severe
FARM0107;South India;Cotton;36.38;7.41;21.04;230.72;40.57;7.92;Sprinkler;Organic;35.05;10/02/2024;20/05/2024;100;3621.67;SENS0107;14/04/2024;3.307.765;87.756.028;0.76;None
FARM0108;Central USA;Maize;31.51;5.94;17.67;88.3;77.39;7.63;None;Mixed;29.72;25/02/2024;28/06/2024;124;5207.98;SENS0108;09/06/2024;15.460.291;74.949.309;0.75;None
FARM0109;East Africa;Cotton;28.49;6.22;33.34;78.05;81.44;9.42;Sprinkler;Mixed;29.15;11/01/2024;03/06/2024;144;4081.37;SENS0109;09/02/2024;27.007.381;84.338.359;0.59;Severe
FARM0110;North India;Cotton;14.62;6.33;26.28;189.7;73.64;5.85;Drip;Inorganic;16.45;24/01/2024;06/05/2024;103;4313.25;SENS0110;29/01/2024;20.592.435;84.007.698;0.62;None
FARM0111;North India;Cotton;11.11;6.32;30.38;241.46;88.92;7.88;None;Inorganic;49.68;15/02/2024;09/07/2024;145;5668.46;SENS0111;21/05/2024;19.391.138;83.654.607;0.7;Mild
FARM0112;Central USA;Wheat;16.25;6.57;25.58;231.96;51.13;4.02;Drip;Inorganic;25.84;18/03/2024;13/07/2024;117;4127.73;SENS0112;01/07/2024;15.741.602;79.212.506;0.39;Mild
FARM0113;North India;Wheat;38.33;6.34;30.32;270.94;40.78;5.24;Drip;Mixed;6.51;22/03/2024;04/08/2024;135;5488.85;SENS0113;23/05/2024;28.513.527;78.045.307;0.44;Mild
FARM0114;North India;Rice;27.64;6.08;31.32;232.88;55.95;7.59;Manual;Organic;18.58;22/01/2024;24/05/2024;123;2884.17;SENS0114;29/02/2024;16.878.848;81.134.362;0.66;Mild
FARM0115;South USA;Soybean;27.35;7.44;33.83;217.84;79.29;5.91;None;Inorganic;11.71;06/02/2024;23/06/2024;138;4151.71;SENS0115;07/04/2024;31.233.523;76.014.728;0.72;Severe
FARM0116;North India;Soybean;24.44;6.33;25.6;147.1;52.75;5.98;Drip;Inorganic;43.12;18/01/2024;02/06/2024;136;5317.63;SENS0116;31/01/2024;1.671.154;83.473.438;0.66;None
FARM0117;South India;Soybean;35.35;6.62;24.59;267.37;56.65;9.74;Drip;Organic;47.17;04/03/2024;19/07/2024;137;5998.29;SENS0117;04/07/2024;32.861.032;83.912.526;0.72;Severe
FARM0118;South India;Soybean;21.26;6.07;24.33;212.18;55.42;6.16;None;Inorganic;9.44;16/03/2024;01/08/2024;138;5358.92;SENS0118;07/05/2024;19.267.623;78.278.603;0.64;Mild
FARM0119;South India;Wheat;19.13;7.37;26.58;154.39;47.62;5.98;None;Mixed;42.5;18/02/2024;28/06/2024;131;5773.86;SENS0119;14/05/2024;16.433.169;86.431.839;0.88;Severe
FARM0120;South USA;Rice;35.65;6.2;17.8;186.64;49.2;9.34;Drip;Mixed;6.52;27/01/2024;07/06/2024;132;2194.06;SENS0120;28/01/2024;20.309.806;86.850.894;0.44;Mild
FARM0121;North India;Rice;27.7;6.25;27.36;216.69;70.83;6.9;None;Organic;5.3;14/03/2024;12/06/2024;90;2066.9;SENS0121;18/04/2024;23.393.453;75.733.771;0.6;Severe
FARM0122;South India;Wheat;42.13;6.55;19.82;204.95;52.62;6.13;None;Organic;21.79;15/02/2024;20/06/2024;126;2972.83;SENS0122;14/05/2024;15.646.431;83.680.833;0.81;None
FARM0123;North India;Cotton;23.27;6.61;16.12;52.36;48.57;7.0;None;Mixed;40.3;28/03/2024;02/07/2024;96;5579.16;SENS0123;02/04/2024;15.744.162;88.025.459;0.72;Severe
FARM0124;Central USA;Wheat;42.35;6.87;20.61;185.76;72.91;5.08;Manual;Organic;48.27;05/03/2024;21/07/2024;138;5282.76;SENS0124;14/06/2024;33.221.874;75.985.538;0.64;Severe
FARM0125;East Africa;Maize;23.43;6.98;30.81;222.33;43.92;8.47;Manual;Organic;9.4;27/01/2024;30/04/2024;94;3362.37;SENS0125;14/04/2024;3.387.146;77.934.061;0.76;None
FARM0126;Central USA;Cotton;27.17;6.21;33.82;157.96;73.98;7.96;Drip;Mixed;18.29;23/01/2024;26/04/2024;94;2328.15;SENS0126;11/02/2024;19.5;85.677.806;0.39;Severe
FARM0127;Central USA;Maize;13.73;5.51;21.17;139.98;53.49;4.8;Sprinkler;Inorganic;25.2;17/03/2024;11/07/2024;116;2413.17;SENS0127;28/03/2024;18.847.857;71.861.285;0.66;Moderate
FARM0128;South USA;Wheat;20.21;6.28;16.69;275.28;85.26;9.87;Sprinkler;Mixed;22.13;09/01/2024;27/04/2024;109;3073.63;SENS0128;27/01/2024;11.581.679;78.693.525;0.55;Severe
FARM0129;North India;Maize;18.81;5.99;27.5;198.45;49.78;4.64;Manual;Organic;47.7;27/02/2024;05/07/2024;129;3519.56;SENS0129;21/05/2024;21.005.573;78.612.324;0.79;Mild
FARM0130;Central USA;Maize;31.11;6.89;24.58;94.41;59.91;5.91;None;Mixed;40.19;13/02/2024;30/05/2024;107;5265.98;SENS0130;03/04/2024;19.125.388;88.641.343;0.42;Mild
